candidate_name,normalized,classification,canonical_kept,canonical_name,action,reason
Hip Abduction Machine (Seated),abduction hip machine seated,ALIAS_TO_EXISTING,hip_abduction_machine,Hip Abduction Machine,"add alias ""abduction hip machine seated"" (+ variants) to hip_abduction_machine; DO NOT create a row","author-flagged alias of ""hip_abduction_machine"" (auto-check did not independently match — confirm)"
Converging Chest Press Machine,chest converging machine press,ALIAS_TO_EXISTING,machine_chest_press,Machine Chest Press,"add alias ""chest converging machine press"" (+ variants) to machine_chest_press; DO NOT create a row","author-flagged alias of ""machine_chest_press"" (auto-check did not independently match — confirm)"
Seated Leg Press (Horizontal),horizontal leg press seated,ALIAS_TO_EXISTING,leg_press,Leg Press,"add alias ""horizontal leg press seated"" (+ variants) to leg_press; DO NOT create a row","author-flagged alias of ""leg_press"" (auto-check did not independently match — confirm)"
Smith Machine Calf Raise,calve machine raise smith,ALIAS_TO_EXISTING,standing_calf_raise,Standing Calf Raise,"add alias ""calve machine raise smith"" (+ variants) to standing_calf_raise; DO NOT create a row","author-flagged alias of ""standing_calf_raise"" (auto-check did not independently match — confirm)"
Single-Arm Dumbbell Row,arm dumbbell row single,ALIAS_TO_EXISTING,dumbbell_row,Dumbbell Row,"add alias ""arm dumbbell row single"" (+ variants) to dumbbell_row; DO NOT create a row","author-flagged alias of ""dumbbell_row"" (auto-check did not independently match — confirm)"
Single-Arm Triceps Pushdown,arm pushdown single tricep,ALIAS_TO_EXISTING,single_arm_pushdown,Single-Arm Pushdown,"add alias ""arm pushdown single tricep"" (+ variants) to single_arm_pushdown; DO NOT create a row","author-flagged alias of ""single_arm_pushdown"" (auto-check did not independently match — confirm)"
Single-Arm Lat Pulldown (Machine),arm lat machine pulldown single,ALIAS_TO_EXISTING,single_arm_pulldown,Single-Arm Pulldown,"add alias ""arm lat machine pulldown single"" (+ variants) to single_arm_pulldown; DO NOT create a row","author-flagged alias of ""single_arm_pulldown"" (auto-check did not independently match — confirm)"
Pinwheel Curl,curl pinwheel,ALIAS_TO_EXISTING,hammer_curl,Hammer Curl,"add alias ""curl pinwheel"" (+ variants) to hammer_curl; DO NOT create a row","author-flagged alias of ""hammer_curl"" (auto-check did not independently match — confirm)"
Dumbbell Goblet Squat,dumbbell goblet squat,DUPLICATE_DO_NOT_IMPORT,goblet_squat,Goblet Squat,discard — goblet_squat already represents this movement,"author-flagged duplicate of ""goblet_squat"" (auto-check did not independently match — confirm)"
Suitcase Hold,hold suitcase,ALIAS_TO_EXISTING,suitcase_carry,Suitcase Carry,"add alias ""hold suitcase"" (+ variants) to suitcase_carry; DO NOT create a row","author-flagged alias of ""suitcase_carry"" (auto-check did not independently match — confirm)"
Sled Row,row sled,ALIAS_TO_EXISTING,sled_pull,Sled Pull,"add alias ""row sled"" (+ variants) to sled_pull; DO NOT create a row","author-flagged alias of ""sled_pull"" (auto-check did not independently match — confirm)"
Farmer's Walk,farmer walk,ALIAS_TO_EXISTING,farmers_carry,Farmer's Carry,"add alias ""farmer walk"" (+ variants) to farmers_carry; DO NOT create a row","author-flagged alias of ""farmers_carry"" (auto-check did not independently match — confirm)"
