dataset_name,platform,URL,license,commercial_use_status,participant_count,row_count,participant_id_available,age_available,sex_available,weight_available,exercise_available,sets_available,reps_available,load_available,duration_available,intensity_available,heart_rate_available,energy_expenditure_available,energy_expenditure_unit,measurement_method,indirect_calorimetry,multi_exercise,ground_truth_quality,recommended_role,reason,data_leakage_risk
Reis et al. 2017 (PLOS ONE),"Journal supplement (already in use, V1)",https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0181311,CC BY 4.0,Allowed,14,679,Yes,Cohort mean only,Yes (cohort-level),Cohort mean only,Yes (8 exercises),No (continuous bout),No,Yes (%1RM),Yes (protocol-level),Yes (%1RM),No,Yes,"relative VO2 (ml/kg/min), rate",COSMED K4b2 breath-by-breath,Yes,No (isolated single-exercise bouts),GOLD,Already in use - V1 training data,"Directly measured VO2, documented method, participant-level, CC BY 4.0.",Confirmed same cohort as reis2019 (numeric proof)
Reis et al. 2019 (PLOS ONE),"Journal supplement (already in use, V1)",https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0221284,CC BY 4.0,Allowed,14 (same cohort as reis2017),994,Yes,Cohort mean only,Yes (cohort-level),Cohort mean only,Yes (8 exercises),No (continuous bout),No,Yes (%1RM),Yes (protocol-level),Yes (%1RM),Yes,Yes,"kcal/min, directly reported",COSMED K4b2 breath-by-breath,Yes,No (isolated single-exercise bouts),GOLD,Already in use - V1 training data,"Directly reported EC, cleanest units of the 3 V1 sources, CC BY 4.0.",Confirmed same cohort as reis2017 (numeric proof)
Brunelli et al. 2019 (PLOS ONE),"Journal supplement (already in use, V1)",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224801,CC BY 4.0,Allowed,11,396,Yes,Cohort mean only,Yes (cohort-level),Cohort mean only,Yes (1: leg extension),"Yes (3, condition-level)",No (to failure),Yes (%1RM),"Partial (protocol-level, not per-set)",Yes (30%/80%1RM),No,Yes,absolute kcal (not a rate),"Oxycon portable gas analyzer, breath-by-breath",Yes,No (single exercise),GOLD,"Already in use - V1 confirmatory check only (different target unit, not used to fit the model)","Directly measured, but absolute-kcal target incompatible with the rate-based model; used as independent validation instead.",Confirmed disjoint from reis-lab cohort
Gym Members Exercise Dataset,Kaggle (valakhorasani),https://www.kaggle.com/datasets/valakhorasani/gym-members-exercise-dataset,Apache 2.0,"License permits it, but data quality disqualifies use",973,973,No,Yes,Yes,Yes,Yes (Workout_Type: Cardio/Strength/Yoga/HIIT),No,No,No,Yes (hours),No explicit tier (BPM only),Yes (Max/Avg/Resting BPM),Yes,kcal per session (undocumented derivation),Not stated - page explicitly says data is generated,No,No (single workout type per row),EXCLUDE,Do not use,"Dataset page states outright the data is generated to reflect realistic exercise tracking scenarios, and explicitly says: please do not use this dataset for research purposes. Self-disclosed synthetic, explicitly discouraged from research use.",N/A (excluded)
Calories Burned During Exercise and Activities,Kaggle (aadhavvignesh),https://www.kaggle.com/datasets/aadhavvignesh/calories-burned-during-exercise-and-activities,CC BY-SA 4.0,"License permits it, but data is not participant-level",0 (no participants - generic per-activity table),248 activities,No,No,No,No (4 generic weight brackets: 130/155/180/205 lb),"Yes (248 activity names, incl. some resistance categories)",No,No,No,Fixed 1 hour per row,Encoded only in activity name (e.g. vigorous),No,Yes,kcal/hour by weight bracket,"Creator states dataset was compiled manually - no calorimetry, appears to be a manual recompilation of standard MET-style tables",No,No,EXCLUDE,Do not use,"No participants, no calorimetry, manually compiled from unstated sources - undocumented calculation exactly as the exclusion rule describes.",N/A (excluded)
FitLife: Health & Fitness Tracking Dataset,Kaggle (jijagallery),https://www.kaggle.com/datasets/jijagallery/fitlife-health-and-fitness-tracking-dataset,Not confirmed this pass,Disqualified by data quality regardless of license,3000 (simulated),"~1,095,000 (3000 x 365 days, not independently confirmed)",Yes (participant_id),Yes,Yes,Yes,Yes (activity_type),No,No,No,Yes (duration_minutes),"Yes (Low/Medium/High, categorical)",Yes (avg + resting),Yes,calories_burned per activity (explicitly labeled Estimated),None - page states outright that FitLife360 is a synthetic dataset,No,No (one activity_type per row),EXCLUDE,Do not use,"Self-disclosed synthetic dataset, calorie field explicitly labeled an estimate, not a measurement.",N/A (excluded)
Gym Workout IMU Dataset,Kaggle (shakthisairam123),https://www.kaggle.com/datasets/shakthisairam123/gym-workout-imu-dataset,MIT,Allowed,Not stated (appears to be 1 - personal recording project),164 sets (raw IMU time-series files),No,No,No,No,Yes (36 named strength exercises),Yes (encoded in filename),Yes (encoded in filename),Yes (encoded in filename),"Yes (raw sensor timestamps, ~100Hz)",No explicit tier,No,No,N/A,"Apple Watch SE wrist IMU sensor, 100Hz - motion only, not physiological",No,No (one exercise per file),AUXILIARY,"Reference only - exercise-identity/rep-counting ideas, never as EE ground truth","Real, well-documented sets/reps/load/exercise-identity data, but zero calorie or physiological EE signal of any kind.","Low - unrelated to V1 cohorts, but effectively single-subject so adds no population diversity"
Weight Lifting Exercises (Velloso et al. 2013),Kaggle mirror (prashant111) of UCI ML Repository,https://www.kaggle.com/datasets/prashant111/weight-lifting-exercises,Unknown on the Kaggle mirror page,Unresolved - check original UCI/paper license before any use,Reportedly 6 per the original 2013 paper (not independently re-confirmed from the Kaggle mirror content this session),"Not confirmed this pass (large IMU time-series set, original study widely cited)",Likely yes (per-subject IMU streams),Not confirmed,Not confirmed,Not confirmed,"Yes (1: Unilateral Dumbbell Biceps Curl, 5 form-quality classes)",Yes (windowed),"Partial (10 reps per set, per protocol)",Not clearly available,Yes (1s time windows),No,No,No,N/A,"4x IMU sensors (belt, arm, forearm, dumbbell) - motion/form classification, not physiological",No,No (single exercise),AUXILIARY,"Reference only - real peer-reviewed academic origin, but no EE data and license needs resolving before any use","Legitimate published research (Augmented Human 2013), real participants, but designed for form-quality classification, not energy expenditure - no calorie/VO2 column exists at all.",None expected - different research group/population than V1's Reis/Brunelli cohorts
721 Weight Training Workouts,Kaggle (joep89),https://www.kaggle.com/datasets/joep89/weightlifting,Not confirmed this pass,Unresolved,"1 (single self-tracked individual, ~3 years of personal logs)",721 workouts (exact set-level row count not confirmed),N/A (single person),No,No,"Only the logger's own body weight, stated in the description, not per-row","Yes (many named exercises, self-logged, inconsistent naming per the author's own notes)",Yes,Yes,Yes (lbs),No per-set duration,No explicit tier (a 1RM proxy formula is included),No,No,N/A,Self-logged via the Strong app - no physiological measurement of any kind,No,"Yes (real multi-exercise sessions, PPL split)",AUXILIARY,"Reference only - illustrates real multi-exercise session structure, never as EE ground truth","n=1, no calorie data, self-logged not measured - genuinely real but not generalizable and has no EE target at all.",None
Powerlifting Database (OpenPowerlifting),"Kaggle (open-powerlifting), CC0 public-domain source",https://www.kaggle.com/datasets/open-powerlifting/powerlifting-database,CC0: Public Domain,Allowed (most permissive license found in this search),"~800,000 real competitive lifters","~800,000+ (one competition-database snapshot, 41 columns)",Yes (by name; not a stable anonymized ID),Yes,Yes,Yes (bodyweight class),Yes (Squat/Bench/Deadlift only),No (competition max attempts only),No (1RM-style competition lifts),Yes (competition totals in kg/lb),No,Implicit only (max-effort by definition),No,No,N/A,"Competition meet records - performance data, not physiological",No,No (one lift type per row),AUXILIARY,"Special reference use - real-world 1RM/load distributions by age/sex/bodyweight, directly relevant to resolving V1's open percent-1RM-to-intensity-tier mapping question (audit finding #8b), never as EE ground truth","No calorie/EE data exists in this dataset at all, but it is the largest, cleanest, most permissively-licensed real-lifter strength dataset found - valuable for a different, specific V1 gap, not for training the calorie model itself.",None expected
